区,初中学校,招生学校,最低分,同分优待,综评,语数外,数学,语文,综合测试
嘉定区,上海市嘉定区启良中学,上海市嘉定区第一中学,734,否,50,406,138,124,134
嘉定区,上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,743,否,50,400,134,123,148
嘉定区,上海市嘉定区启良中学,上海师范大学附属中学嘉定新城分校,732,否,50,404,142,119,136
嘉定区,上海市嘉定区方泰中学,上海市嘉定区第一中学,726,否,50,389.5,124,120,141
嘉定区,上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,742.5,否,50,409.5,133,132,140
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学嘉定新城分校,724.5,否,50,394.5,127,126,136
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学,733,否,50,401.5,119,137,137
嘉定区,上海市曹杨二中附属江桥实验中,上海市嘉定区第一中学,733,否,50,404,134,124,135
嘉定区,上海市曹杨二中附属江桥实验中,上海交通大学附属中学嘉定分校,757.5,否,50,414.5,142,127,148
嘉定区,上海市曹杨二中附属江桥实验中,上海师范大学附属中学嘉定新城分校,738.5,否,50,398.5,133,122,146
嘉定区,上海市嘉定区迎园中学,上海市嘉定区第一中学,738.5,否,50,404.5,128,134,139
嘉定区,上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,750,否,50,412,137,128,142
嘉定区,上海市嘉定区迎园中学,上海师范大学附属中学嘉定新城分校,743,否,50,408,127,133,138
嘉定区,上海市嘉定区迎园中学,华东师范大学第二附属中学,760.5,否,50,416,140,130,148
嘉定区,上海市嘉定区南苑中学,上海市嘉定区第一中学,733,否,50,395,131,120,144
嘉定区,上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,737,否,50,408,137,127,133
嘉定区,上海市嘉定区南苑中学,上海师范大学附属中学嘉定新城分校,730.5,否,50,397.5,132,126,136
嘉定区,上海市嘉定区黄渡中学,上海市嘉定区第一中学,738.5,否,50,407.5,133,132,138
嘉定区,上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,747,否,50,409,133,132,144
嘉定区,上海市嘉定区黄渡中学,上海师范大学附属中学嘉定新城分校,731,否,50,395,119,135,139
嘉定区,上海市嘉定区徐行中学,上海市嘉定区第一中学,711.5,否,50,376.5,120,122,142
嘉定区,上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,710.5,否,50,384.5,134,119,136
嘉定区,上海市嘉定区徐行中学,上海师范大学附属中学嘉定新城分校,712.5,否,50,380.5,123,125,135
嘉定区,上海市嘉定区徐行中学,华东师范大学第二附属中学,758.5,否,50,420.5,147,132,142
嘉定区,上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,709.5,否,50,398.5,135,131,118
嘉定区,上海市嘉定区马陆育才联合中学,上海交通大学附属中学嘉定分校,727.5,否,50,389,115,129,143
嘉定区,上海市嘉定区马陆育才联合中学,上海师范大学附属中学嘉定新城分校,723,否,50,392,115,132,136
嘉定区,上海市民办嘉宜初级中学,上海市嘉定区第一中学,739.5,否,50,407.5,138,127,137
嘉定区,上海市民办嘉宜初级中学,上海交通大学附属中学嘉定分校,748,否,50,415,143,125,140
嘉定区,上海市民办嘉宜初级中学,上海师范大学附属中学嘉定新城分校,734.5,否,50,400,134,125,140
嘉定区,上海市嘉定区丰庄中学,上海市嘉定区第一中学,726.5,否,50,400.5,121,134,133
嘉定区,上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,747.5,否,50,403.5,130,126,146
嘉定区,上海市嘉定区丰庄中学,上海师范大学附属中学嘉定新城分校,732.5,否,50,401.5,140,119,140
嘉定区,上海市嘉定区外冈中学,上海市嘉定区第一中学,721.5,否,50,395.5,139,121,133
嘉定区,上海市嘉定区外冈中学,上海交通大学附属中学嘉定分校,724,否,50,396,132,121,136
嘉定区,上海市嘉定区外冈中学,上海师范大学附属中学嘉定新城分校,722,否,50,392,126,129,135
嘉定区,上海民办华曜嘉定初级中学,上海市上海中学,765.5,否,50,422.5,144,132,146
嘉定区,上海民办华曜嘉定初级中学,上海市嘉定区第一中学,731.5,否,50,403.5,132,127,135
嘉定区,上海民办华曜嘉定初级中学,上海交通大学附属中学嘉定分校,755,否,50,420,148,130,140
嘉定区,上海民办华曜嘉定初级中学,上海师范大学附属中学嘉定新城分校,739,否,50,401,131,128,142
嘉定区,上海市嘉定区震川中学,复旦大学附属中学,768,否,50,428,145,138,145
嘉定区,上海市嘉定区震川中学,上海市嘉定区第一中学,729,否,50,402,130,128,133
嘉定区,上海市嘉定区震川中学,上海交通大学附属中学嘉定分校,747.5,否,50,413.5,142,126,143
嘉定区,上海市嘉定区震川中学,上海师范大学附属中学嘉定新城分校,732,否,50,393,128,126,145
嘉定区,上海大学附属嘉定留云中学,上海交通大学附属中学,767.5,否,50,421.5,146,130,149
嘉定区,上海大学附属嘉定留云中学,上海市嘉定区第一中学,729,否,50,396.5,125,129,136
嘉定区,上海大学附属嘉定留云中学,上海交通大学附属中学嘉定分校,754.5,否,50,417,144,130,141
嘉定区,上海大学附属嘉定留云中学,上海师范大学附属中学嘉定新城分校,740,否,50,406,134,126,141
嘉定区,交大附中附属嘉定德富中学,上海市嘉定区第一中学,735.5,否,50,399,134,128,140
嘉定区,交大附中附属嘉定德富中学,上海交通大学附属中学嘉定分校,756,否,50,417,143,128,142
嘉定区,交大附中附属嘉定德富中学,上海师范大学附属中学嘉定新城分校,738.5,否,50,400.5,126,128,140
嘉定区,同济大学附属实验中学,上海市嘉定区第一中学,730.5,否,50,406.5,133,127,131
嘉定区,同济大学附属实验中学,上海交通大学附属中学嘉定分校,752,否,50,410,136,126,146
嘉定区,同济大学附属实验中学,上海师范大学附属中学嘉定新城分校,731,否,50,403,132,126,139
嘉定区,上海市嘉定区华江中学,上海市嘉定区第一中学,722,否,50,393,120,130,134
嘉定区,上海市嘉定区华江中学,上海交通大学附属中学嘉定分校,741,否,50,405,134,126,141
嘉定区,上海市嘉定区华江中学,上海师范大学附属中学嘉定新城分校,726,否,50,393,124,128,138
嘉定区,上海市嘉定区新城实验中学,上海市嘉定区第一中学,734,否,50,407,134,130,137
嘉定区,上海市嘉定区新城实验中学,上海交通大学附属中学嘉定分校,753.5,否,50,416.5,137,133,142
嘉定区,上海市嘉定区新城实验中学,上海师范大学附属中学嘉定新城分校,740,否,50,404,124,135,138
嘉定区,上海市嘉定区新城实验中学,华东师范大学第二附属中学,766.5,否,50,429.5,150,133,145
嘉定区,上海市嘉定区南翔中学,上海市嘉定区第一中学,734,否,50,408,134,130,131
嘉定区,上海市嘉定区南翔中学,上海交通大学附属中学嘉定分校,755.5,否,50,412.5,148,126,145
嘉定区,上海市嘉定区南翔中学,上海师范大学附属中学嘉定新城分校,736,否,50,402,122,135,139
嘉定区,上海市嘉定区疁城实验学校,上海市嘉定区第一中学,721,否,50,387,117,128,140
嘉定区,上海市嘉定区疁城实验学校,上海交通大学附属中学嘉定分校,738.5,否,50,399.5,134,122,144
嘉定区,上海市嘉定区疁城实验学校,上海师范大学附属中学嘉定新城分校,722,否,50,392,126,123,136
嘉定区,上海市嘉定区戬浜学校,上海市嘉定区第一中学,737.5,否,50,405.5,133,129,138
嘉定区,上海市嘉定区戬浜学校,上海交通大学附属中学嘉定分校,760.5,否,50,422.5,143,134,143
嘉定区,上海市嘉定区戬浜学校,上海师范大学附属中学嘉定新城分校,739.5,否,50,408.5,131,136,141
嘉定区,上海市嘉定区朱桥学校,上海市上海中学,750,否,50,415,138,133,141
嘉定区,上海市嘉定区朱桥学校,上海市嘉定区第一中学,740,否,50,404.5,142,124,139
嘉定区,上海市嘉定区朱桥学校,上海交通大学附属中学嘉定分校,741,否,50,407,129,130,139
嘉定区,上海市嘉定区朱桥学校,上海师范大学附属中学嘉定新城分校,742,否,50,409.5,142,126,136
嘉定区,上海市嘉定区苏民学校,复旦大学附属中学,767,否,50,423,146,131,146
嘉定区,上海市嘉定区苏民学校,上海市嘉定区第一中学,739.5,否,50,403.5,133,127,139
嘉定区,上海市嘉定区苏民学校,上海交通大学附属中学嘉定分校,756.5,否,50,412.5,140,127,146
嘉定区,上海市嘉定区苏民学校,上海师范大学附属中学嘉定新城分校,741,否,50,413,146,125,134
嘉定区,上海市民办远东学校,上海市嘉定区第一中学,739.5,否,50,402.5,128,128,142
嘉定区,上海市民办远东学校,上海交通大学附属中学嘉定分校,762.5,否,50,418.5,146,127,146
嘉定区,上海市民办远东学校,上海师范大学附属中学嘉定新城分校,734.5,否,50,400.5,135,122,139
嘉定区,上海市民办桃李园实验学校,上海市嘉定区第一中学,734.5,否,50,396.5,129,122,142
嘉定区,上海市民办桃李园实验学校,上海交通大学附属中学嘉定分校,756.5,否,50,413.5,144,123,147
嘉定区,上海市民办桃李园实验学校,上海师范大学附属中学嘉定新城分校,738,否,50,410,127,136,137
嘉定区,上海市嘉定区华亭学校,上海交通大学附属中学,720,否,50,396,140,116,137
嘉定区,上海市嘉定区华亭学校,上海市嘉定区第一中学,721.5,否,50,401.5,132,123,131
嘉定区,上海市嘉定区华亭学校,上海交通大学附属中学嘉定分校,721,否,50,392.5,132,121,136
嘉定区,上海市嘉定区华亭学校,上海师范大学附属中学嘉定新城分校,727,否,50,402.5,130,130,132
嘉定区,上海市嘉定区娄塘学校,上海交通大学附属中学,713,否,50,388,133,118,137
嘉定区,上海市嘉定区娄塘学校,上海市嘉定区第一中学,739.5,否,50,411,145,128,134
嘉定区,上海市嘉定区娄塘学校,上海交通大学附属中学嘉定分校,704,否,50,372,118,116,138
嘉定区,上海市嘉定区娄塘学校,上海师范大学附属中学嘉定新城分校,720,否,50,391,140,120,135
嘉定区,上海外国语大学嘉定外国语学校,上海市嘉定区第一中学,731.5,否,50,404,127,132,140
嘉定区,上海外国语大学嘉定外国语学校,上海交通大学附属中学嘉定分校,755.5,否,50,411.5,141,128,147
嘉定区,上海外国语大学嘉定外国语学校,上海师范大学附属中学嘉定新城分校,748.5,否,50,413.5,142,129,145
嘉定区,上海市嘉定区练川实验学校,上海市嘉定区第一中学,735,否,50,404,134,127,136
嘉定区,上海市嘉定区练川实验学校,上海交通大学附属中学嘉定分校,747.5,否,50,410.5,134,135,142
嘉定区,上海市嘉定区练川实验学校,上海师范大学附属中学嘉定新城分校,740,否,50,409,134,134,136
嘉定区,上海华旭双语学校,上海市嘉定区第一中学,740.5,否,50,402,132,126,144
嘉定区,上海华旭双语学校,上海交通大学附属中学嘉定分校,759,否,50,417,141,127,146
嘉定区,上海华旭双语学校,上海师范大学附属中学嘉定新城分校,743.5,否,50,406.5,131,130,143
嘉定区,中科院上海实验学校,上海市嘉定区第一中学,736.5,否,50,408.5,135,133,133
嘉定区,中科院上海实验学校,上海交通大学附属中学嘉定分校,753.5,否,50,414.5,137,133,142
嘉定区,中科院上海实验学校,上海师范大学附属中学嘉定新城分校,743,否,50,407,134,129,139
嘉定区,上海嘉定区世外学校,上海市嘉定区第一中学,736,否,50,415,137,136,124
嘉定区,上海嘉定区世外学校,上海交通大学附属中学嘉定分校,756,否,50,416,147,121,145
嘉定区,上海嘉定区世外学校,上海师范大学附属中学嘉定新城分校,744.5,否,50,417.5,136,137,133
嘉定区,上海市嘉定区金鹤学校,上海市嘉定区第一中学,737,否,50,411,147,121,135
嘉定区,上海市嘉定区金鹤学校,上海交通大学附属中学嘉定分校,751,否,50,411,146,119,146
嘉定区,上海市嘉定区金鹤学校,上海师范大学附属中学嘉定新城分校,733.5,否,50,398.5,116,137,140
嘉定区,上海师范大学附属第五嘉定实验学校,上海交通大学附属中学,765,否,50,421,142,135,146
嘉定区,上海师范大学附属第五嘉定实验学校,上海市嘉定区第一中学,731.5,否,50,404.5,133,133,134
嘉定区,上海师范大学附属第五嘉定实验学校,上海交通大学附属中学嘉定分校,750,否,50,412,139,130,145
嘉定区,上海师范大学附属第五嘉定实验学校,上海师范大学附属中学嘉定新城分校,729,否,50,402,125,132,134
嘉定区,同济大学附属嘉定实验中学,上海市嘉定区第一中学,739.5,否,50,410.5,133,131,132
嘉定区,同济大学附属嘉定实验中学,上海交通大学附属中学嘉定分校,749.5,否,50,415.5,143,130,139
嘉定区,同济大学附属嘉定实验中学,上海师范大学附属中学嘉定新城分校,747.5,否,50,405.5,139,122,145
嘉定区,交大附中附属嘉定洪德中学,上海市上海中学,765.5,否,50,423.5,148,130,146
嘉定区,交大附中附属嘉定洪德中学,上海市嘉定区第一中学,734.5,否,50,401.5,131,129,142
嘉定区,交大附中附属嘉定洪德中学,上海交通大学附属中学嘉定分校,761.5,否,50,417.5,147,125,147
嘉定区,交大附中附属嘉定洪德中学,上海师范大学附属中学嘉定新城分校,737,否,50,404,140,121,139
嘉定区,上海市嘉定区嘉二实验学校,上海市嘉定区第一中学,734,否,50,405,139,126,137
嘉定区,上海市嘉定区嘉二实验学校,上海交通大学附属中学嘉定分校,738.5,否,50,406.5,137,124,136
嘉定区,上海市嘉定区嘉二实验学校,上海师范大学附属中学嘉定新城分校,729,否,50,396,135,123,137
嘉定区,上海市嘉定区嘉一实验初级中学,上海市嘉定区第一中学,721,否,50,392,126,124,135
嘉定区,上海市嘉定区嘉一实验初级中学,上海交通大学附属中学嘉定分校,748.5,否,50,416.5,141,130,140
嘉定区,上海市嘉定区嘉一实验初级中学,上海师范大学附属中学嘉定新城分校,718,否,50,393,116,128,133
嘉定区,上海嘉定区民办华盛怀少学校,上海市嘉定区第一中学,735.5,否,50,400.5,132,129,140
嘉定区,上海嘉定区民办华盛怀少学校,上海交通大学附属中学嘉定分校,751.5,否,50,413.5,129,140,142
嘉定区,上海嘉定区民办华盛怀少学校,上海师范大学附属中学嘉定新城分校,735.5,否,50,408.5,135,137,137
奉贤区,上海市奉贤区青少年业余体育学,上海市格致中学（奉贤校区）,665,否,50,359,109,113,114
奉贤区,上海市奉贤区青少年业余体育学,上海市奉贤中学,675.5,否,50,365.5,115,123,114
奉贤区,上海市奉贤区古华中学,上海市格致中学（奉贤校区）,727,否,50,405.5,139,127,131
奉贤区,上海市奉贤区古华中学,上海市奉贤中学,736.5,否,50,405,133,127,137
奉贤区,上海市奉贤区古华中学,华东师范大学第二附属中学临港奉贤分校,735,否,50,403,136,130,140
奉贤区,上海市奉贤区实验中学,上海市格致中学（奉贤校区）,740.5,否,50,413.5,139,131,136
奉贤区,上海市奉贤区实验中学,上海师范大学附属中学,734.5,否,50,401,124,131,139
奉贤区,上海市奉贤区实验中学,上海市奉贤中学,749,否,50,419,146,132,135
奉贤区,上海市奉贤区实验中学,华东师范大学第二附属中学临港奉贤分校,743.5,否,50,413.5,130,137,136
奉贤区,上海市奉贤中学附属南桥中学,上海市格致中学（奉贤校区）,738,否,50,408,129,132,138.5
奉贤区,上海市奉贤中学附属南桥中学,上海交通大学附属中学,755,否,50,415,135,133,147
奉贤区,上海市奉贤中学附属南桥中学,上海市奉贤中学,734,否,50,412,141,130,131
奉贤区,上海市奉贤中学附属南桥中学,华东师范大学第二附属中学临港奉贤分校,731.5,否,50,401.5,139,125,138
奉贤区,上海市奉贤区汇贤中学,上海市格致中学（奉贤校区）,752.5,否,50,422.5,138,138,133
奉贤区,上海市奉贤区汇贤中学,复旦大学附属中学,761,否,50,421,141,133,145
奉贤区,上海市奉贤区汇贤中学,上海市奉贤中学,757,否,50,422,142,133,140
奉贤区,上海市奉贤区汇贤中学,华东师范大学第二附属中学临港奉贤分校,734,否,50,395.5,135,126,143
奉贤区,上海市奉贤区塘外中学,上海市格致中学（奉贤校区）,716,否,50,378.5,115,133,141
奉贤区,上海市奉贤区塘外中学,上海市奉贤中学,721,否,50,400,131,131,129
奉贤区,上海市奉贤区塘外中学,华东师范大学第二附属中学临港奉贤分校,735.5,否,50,401.5,142,121,145
奉贤区,上海市奉贤区青村中学,上海市格致中学（奉贤校区）,685.5,否,50,375,130,120,126
奉贤区,上海市奉贤区青村中学,上海市奉贤中学,711.5,否,50,381.5,118,124,136
奉贤区,上海市奉贤区青村中学,华东师范大学第二附属中学临港奉贤分校,720,否,50,387,115,129,139
奉贤区,上海市奉贤区奉城第二中学,上海市格致中学（奉贤校区）,732,否,50,398,126,129,141
奉贤区,上海市奉贤区奉城第二中学,上海市奉贤中学,737,否,50,400,127,127,145
奉贤区,上海市奉贤区奉城第二中学,华东师范大学第二附属中学临港奉贤分校,732,否,50,393,125,126,144
奉贤区,上海市奉贤区头桥中学,上海市格致中学（奉贤校区）,698.5,否,50,368.5,110,123,133
奉贤区,上海市奉贤区头桥中学,上海市奉贤中学,671.5,否,50,345.5,121,116,131
奉贤区,上海市奉贤区洪庙中学,上海市格致中学（奉贤校区）,722,否,50,388,132,117,137
奉贤区,上海市奉贤区洪庙中学,上海市奉贤中学,724.5,否,50,392.5,131,121,142
奉贤区,上海市奉贤区洪庙中学,华东师范大学第二附属中学临港奉贤分校,723,否,50,398,123,133,131
奉贤区,上海市奉贤区四团中学,上海市格致中学（奉贤校区）,684.5,否,50,365.5,116,114,127
奉贤区,上海市奉贤区四团中学,上海市奉贤中学,685.5,否,50,375,114,122,122
奉贤区,上海市奉贤区四团中学,华东师范大学第二附属中学临港奉贤分校,679,否,50,367,107,133,122
奉贤区,上海市奉贤区青溪中学,上海市格致中学（奉贤校区）,748,否,50,409.5,138,125,142
奉贤区,上海市奉贤区青溪中学,上海市奉贤中学,748,否,50,417,142,133,139
奉贤区,上海市奉贤区青溪中学,华东师范大学第二附属中学临港奉贤分校,737.5,否,50,406,131,129,138
奉贤区,上海市奉贤区尚同中学,上海市格致中学（奉贤校区）,730.5,否,50,405.5,135,126,129
奉贤区,上海市奉贤区尚同中学,上海市奉贤中学,741.5,否,50,405.5,130,132,140
奉贤区,上海市奉贤区尚同中学,华东师范大学第二附属中学临港奉贤分校,732.5,否,50,398.5,139,115,140
奉贤区,上海外国语大学附属奉贤实验中,上海市格致中学（奉贤校区）,759.5,否,50,425.5,146,134,140
奉贤区,上海外国语大学附属奉贤实验中,上海市奉贤中学,741,否,50,420,140,132,129
奉贤区,上海外国语大学附属奉贤实验中,华东师范大学第二附属中学临港奉贤分校,735.5,否,50,403.5,136,132,141
奉贤区,上海市奉贤区崇实中学,上海市格致中学（奉贤校区）,746,否,50,403.5,124,135,147
奉贤区,上海市奉贤区崇实中学,华东师范大学第二附属中学,758,否,50,419.5,146,130,146
奉贤区,上海市奉贤区崇实中学,上海市奉贤中学,751.5,否,50,414.5,139,130,142
奉贤区,上海市奉贤区崇实中学,华东师范大学第二附属中学临港奉贤分校,741.5,否,50,398.5,129,131,146
奉贤区,上海市奉贤区待问中学,上海市格致中学（奉贤校区）,742.5,否,50,412.5,141,131,136
奉贤区,上海市奉贤区待问中学,上海市奉贤中学,750,否,50,414,129,139,142
奉贤区,上海市奉贤区待问中学,华东师范大学第二附属中学临港奉贤分校,746.5,否,50,412.5,133,131,138
奉贤区,上海市奉贤中学附属初级中学,上海市格致中学（奉贤校区）,752,否,50,414,136,133,146
奉贤区,上海市奉贤中学附属初级中学,上海市奉贤中学,752,否,50,411,143,124,145
奉贤区,上海市奉贤中学附属初级中学,华东师范大学第二附属中学临港奉贤分校,743.5,否,50,408,138,127,140
奉贤区,上海师范大学附属奉贤实验中学,上海市格致中学（奉贤校区）,730,否,50,406,138,125,133
奉贤区,上海师范大学附属奉贤实验中学,上海市奉贤中学,733,否,50,405,144,120,136
奉贤区,上海师范大学附属奉贤实验中学,华东师范大学第二附属中学临港奉贤分校,732.5,否,50,397.5,127,129,142
奉贤区,上海市奉贤区肖塘中学,上海市格致中学（奉贤校区）,717,否,50,401.5,128,133,121
奉贤区,上海市奉贤区肖塘中学,上海市奉贤中学,744.5,否,50,405,142,125,145
奉贤区,上海市奉贤区肖塘中学,华东师范大学第二附属中学临港奉贤分校,719.5,否,50,391.5,123,127,138
奉贤区,上海市奉贤区育秀中学,上海市格致中学（奉贤校区）,741,否,50,404.5,136,128,141
奉贤区,上海市奉贤区育秀中学,上海市上海中学,760.5,否,50,417.5,137,136,147
奉贤区,上海市奉贤区育秀中学,上海市奉贤中学,742.5,否,50,404.5,134,135,143
奉贤区,上海市奉贤区育秀中学,华东师范大学第二附属中学临港奉贤分校,741,否,50,399.5,126,127,147
奉贤区,上海市奉贤区华亭学校,上海市格致中学（奉贤校区）,742.5,否,50,414.5,140,132,137
奉贤区,上海市奉贤区华亭学校,上海市奉贤中学,744,否,50,406,133,128,143
奉贤区,上海市奉贤区华亭学校,华东师范大学第二附属中学临港奉贤分校,729,否,50,402,142,118,138
奉贤区,上海市奉贤区西渡学校,上海市格致中学（奉贤校区）,726.5,否,50,400.5,131,126,134
奉贤区,上海市奉贤区西渡学校,上海市奉贤中学,741.5,否,50,410,136,126,143
奉贤区,上海市奉贤区西渡学校,华东师范大学第二附属中学临港奉贤分校,741.5,否,50,405.5,142,118,142
奉贤区,上海市奉贤区新寺学校,上海市格致中学（奉贤校区）,700,否,50,374,122,121,139
奉贤区,上海市奉贤区新寺学校,上海市奉贤中学,710.5,否,50,380.5,121,128,137
奉贤区,上海市奉贤区新寺学校,华东师范大学第二附属中学临港奉贤分校,703.5,否,50,374.5,131,125,141
奉贤区,上海奉贤区世外学校,上海市格致中学（奉贤校区）,747.5,否,50,408.5,146,124,145
奉贤区,上海奉贤区世外学校,上海市奉贤中学,734.5,否,50,395.5,131,126,145
奉贤区,上海奉贤区世外学校,华东师范大学第二附属中学临港奉贤分校,736,否,50,405,126,135,139
奉贤区,上海市奉贤区胡桥学校,上海市格致中学（奉贤校区）,674,否,50,360,108,119,122
奉贤区,上海市奉贤区胡桥学校,上海市奉贤中学,736.5,否,50,400.5,134,129,141
奉贤区,上海市奉贤区柘林学校,上海市格致中学（奉贤校区）,725,否,50,389,117,128,143
奉贤区,上海市奉贤区柘林学校,上海市奉贤中学,721.5,否,50,387.5,115,127,140
奉贤区,上海市奉贤区柘林学校,华东师范大学第二附属中学临港奉贤分校,727,否,50,404,141,123,135
奉贤区,上海市奉贤区阳光外国语学校,上海市格致中学（奉贤校区）,732.5,否,50,402,131,127,136
奉贤区,上海市奉贤区阳光外国语学校,上海市奉贤中学,742,否,50,400,129,130,147
奉贤区,上海市奉贤区阳光外国语学校,华东师范大学第二附属中学临港奉贤分校,735.5,否,50,401,127,130,143
奉贤区,上海市奉贤区庄行学校,上海市格致中学（奉贤校区）,728,否,50,389.5,122,123,144
奉贤区,上海市奉贤区庄行学校,上海市奉贤中学,738,否,50,411,142,129,139
奉贤区,上海市奉贤区庄行学校,华东师范大学第二附属中学临港奉贤分校,731.5,否,50,405.5,129,135,136
奉贤区,上海市奉贤区邬桥学校,上海市格致中学（奉贤校区）,724,否,50,396,127,126,137
奉贤区,上海市奉贤区邬桥学校,上海市奉贤中学,743,否,50,406,141,124,144
奉贤区,上海市奉贤区邬桥学校,华东师范大学第二附属中学临港奉贤分校,715,否,50,387,117,131,134
奉贤区,上海市奉贤区齐贤学校,上海市格致中学（奉贤校区）,703.5,否,50,383,140,113,128
奉贤区,上海市奉贤区齐贤学校,上海市奉贤中学,723.5,否,50,405.5,133,131,126
奉贤区,上海市奉贤区齐贤学校,华东师范大学第二附属中学临港奉贤分校,696,否,50,380.5,138,107,136
奉贤区,上海理工大学附属奉贤学校,上海市格致中学（奉贤校区）,730.5,否,50,402.5,129,129,135
奉贤区,上海理工大学附属奉贤学校,上海市奉贤中学,733.5,否,50,403.5,120,136,141
奉贤区,上海理工大学附属奉贤学校,华东师范大学第二附属中学临港奉贤分校,732.5,否,50,397.5,125,134,142
奉贤区,上海市奉贤中学附属三官堂学校,上海市格致中学（奉贤校区）,705,否,50,373.5,102,126,139
奉贤区,上海市奉贤中学附属三官堂学校,上海市奉贤中学,715.5,否,50,381,121,120,137
奉贤区,上海市奉贤中学附属三官堂学校,华东师范大学第二附属中学临港奉贤分校,681,否,50,374,102,129,116
奉贤区,上海市奉贤区钱桥学校,上海市格致中学（奉贤校区）,733.5,否,50,408.5,136,128,141
奉贤区,上海市奉贤区钱桥学校,上海市奉贤中学,753,否,50,412,138,131,143
奉贤区,上海市奉贤区钱桥学校,华东师范大学第二附属中学临港奉贤分校,738,否,50,405,132,128,138
奉贤区,上海市奉贤区平安学校,上海市格致中学（奉贤校区）,716.5,否,50,391.5,130,124,131
奉贤区,上海市奉贤区平安学校,上海市奉贤中学,717,否,50,396,128,126,129
奉贤区,上海市奉贤区平安学校,华东师范大学第二附属中学临港奉贤分校,714,否,50,388.5,123,122,132
奉贤区,上海市奉贤区邵厂学校,上海市奉贤中学,667.5,否,50,356.5,106,112,124
奉贤区,上海市奉贤区邵厂学校,华东师范大学第二附属中学临港奉贤分校,679.5,否,50,386.5,120,129,107
奉贤区,上海市奉贤区弘文学校,上海市格致中学（奉贤校区）,743,否,50,413,135,132,134
奉贤区,上海市奉贤区弘文学校,上海市奉贤中学,746.5,否,50,418.5,142,133,135
奉贤区,上海市奉贤区弘文学校,华东师范大学第二附属中学临港奉贤分校,739,否,50,397,133,124,148
奉贤区,上海市奉贤区星火学校,上海市格致中学（奉贤校区）,731,否,50,395,134,118,141
奉贤区,上海市奉贤区星火学校,上海市奉贤中学,739,否,50,407.5,137,129,141
奉贤区,上海市奉贤区星火学校,华东师范大学第二附属中学临港奉贤分校,747.5,否,50,406,133,129,145
奉贤区,上海市奉贤区蓝湾五四学校,上海市格致中学（奉贤校区）,713.5,否,50,390.5,119,129,130
奉贤区,上海市奉贤区蓝湾五四学校,上海市奉贤中学,724.5,否,50,382.5,125,117,145
奉贤区,上海市奉贤区蓝湾五四学校,华东师范大学第二附属中学临港奉贤分校,728,否,50,392.5,135,115,145
奉贤区,上海市奉贤区肇文学校,上海市格致中学（奉贤校区）,717,否,50,392,129,124,135
奉贤区,上海市奉贤区肇文学校,上海市奉贤中学,723,否,50,389.5,125,122,139
奉贤区,上海市奉贤区肇文学校,华东师范大学第二附属中学临港奉贤分校,717.5,否,50,384,125,124,141
奉贤区,上海市奉贤区奉浦中学,上海市格致中学（奉贤校区）,732.5,否,50,408.5,140,129,131
奉贤区,上海市奉贤区奉浦中学,上海市奉贤中学,732,否,50,397,117,135,140
奉贤区,上海市奉贤区奉浦中学,华东师范大学第二附属中学临港奉贤分校,728,否,50,393,137,120,141
奉贤区,上海大学附属奉贤实验学校,上海市格致中学（奉贤校区）,716.5,否,50,396.5,124,129,127
奉贤区,上海大学附属奉贤实验学校,上海市奉贤中学,725,否,50,405,132,129,124
奉贤区,上海大学附属奉贤实验学校,华东师范大学第二附属中学临港奉贤分校,712.5,否,50,395,129,125,126
奉贤区,上海奉贤区世外教育附属临港外国语学校,上海市格致中学（奉贤校区）,714.5,否,50,387.5,127,119,134
奉贤区,上海奉贤区世外教育附属临港外国语学校,上海市奉贤中学,714.5,否,50,376.5,98,132,143
奉贤区,上海奉贤区世外教育附属临港外国语学校,华东师范大学第二附属中学临港奉贤分校,739,否,50,404,138,123,139
宝山区,上海市淞谊中学,上海市行知中学,743.5,否,50,407.5,126,132,137
宝山区,上海市淞谊中学,上海大学附属中学,724,否,50,392,121,124,136
宝山区,上海市淞谊中学,上海师范大学附属中学宝山分校,735.5,否,50,410,137,129,136
宝山区,上海市淞谊中学,上海市吴淞中学,734.5,是,,,,,
宝山区,上海市淞谊中学,华东师范大学第二附属中学（宝山校区）,751,否,50,416,149,130,141
宝山区,上海市宝山区教育学院附属中学,上海市行知中学,749,否,50,409,130,133,142
宝山区,上海市宝山区教育学院附属中学,上海大学附属中学,719,否,50,395.5,125,136,130
宝山区,上海市宝山区教育学院附属中学,上海师范大学附属中学宝山分校,734,否,50,403,127,130,139
宝山区,上海市宝山区教育学院附属中学,上海市吴淞中学,726.5,否,50,397.5,125,129,135
宝山区,上海市宝山区教育学院附属中学,华东师范大学第二附属中学（宝山校区）,759,否,50,420,139,137,141
宝山区,上海市宝山区吴淞初级中学,上海市行知中学,699,否,50,388.5,134,115,129
