年份,学校,专业,最低分
2026,上海市群星职业技术学校,人工智能技术应用,538.5
2026,上海市经济管理学校,计算机网络技术,538.0
2026,上海市大众工业学校,汽车检测与维修技术,538.0
2026,上海市城市科技学校,新能源汽车技术,538.0
2026,上海信息技术学校,机电一体化技术,537.5
2026,上海市材料工程学校,数字媒体艺术设计,535.5
2026,上海市大众工业学校,物联网应用技术,535.5
2026,上海食品科技学校,物联网应用技术,535.0
2026,上海市经济管理学校,应用英语,534.5
2026,上海市逸夫职业技术学校,会展策划与管理,534.0
2026,上海市工程技术管理学校,新能源汽车技术,534.0
2026,上海市奉贤中等专业学校,机电一体化技术,533.5
2026,上海市工商外国语学校,大数据技术,530.5
2026,上海市工商外国语学校,应用俄语,529.0
2026,上海市工业技术学校,供热通风与空调工程技术,529.0
2026,上海市信息管理学校,餐饮智能管理,529.0
2026,上海市经济管理学校,智能互联网络技术,529.0
2026,上海科技管理学校,供热通风与空调工程技术,529.0
2026,上海商业会计学校,关务与外贸服务,528.5
2026,上海市材料工程学校,电子商务,528.0
2026,上海港湾学校,大数据技术,528.0
2026,沪东中华造船集团高级技工学校,船舶工程技术,527.5
2026,上海市浦东外事服务学校,应用英语,527.0
2026,上海市城市科技学校,建筑装饰工程技术,526.5
2026,上海市经济管理学校,大数据与会计,526.0
2026,上海市西南工程学校,建筑室内设计,526.0
2026,沪东中华造船集团高级技工学校,电气自动化技术,525.5
2026,中华职业学校,民航运输服务,525.5
2026,上海市经济管理学校,艺术设计,524.0
2026,上海市商贸旅游学校,广告艺术设计,523.5
2026,上海市浦东外事服务学校,应用日语,523.0
2026,上海市城市科技学校,园林技术,522.5
2026,中华职业学校,影视动画,522.5
2026,上海市信息管理学校,酒店管理与数字化运营,522.0
2026,上海市经济管理学校,应用日语,521.5
2026,沪东中华造船集团高级技工学校,机电一体化技术,521.5
2026,上海市材料工程学校,机械制造及自动化,521.0
2026,上海市商业学校,酒店管理与数字化运营,520.5
2026,上海市城市科技学校,移动应用开发,520.0
2026,上海市信息管理学校,计算机网络技术,519.5
2026,上海市建筑工程学校,供热通风与空调工程技术,519.5
2026,上海市材料工程学校,建筑装饰工程技术,519.0
2026,上海市逸夫职业技术学校,烹饪工艺与营养,518.5
2026,上海市浦东外事服务学校,婴幼儿托育服务与管理,518.5
2026,上海信息技术学校,移动互联应用技术,518.0
2026,上海市材料工程学校,宝玉石鉴定与加工,517.5
2026,上海市信息管理学校,计算机应用技术,517.5
2026,上海食品科技学校,数字化设计与制造技术,517.5
2026,上海市行政管理学校,电子竞技运动与管理,517.0
2026,上海港湾学校,服装与服饰设计,516.5
2026,上海市奉贤中等专业学校,新能源汽车技术,516.0
2026,上海师范大学附属杨浦现代职业学校,数字化设计与制造技术,516.0
2026,上海市经济管理学校,现代物流管理,515.0
2026,上海市商业学校,食品智能加工技术,513.5
2026,上海市工业技术学校,虚拟现实技术应用,512.0
2026,中华职业学校,戏剧影视表演,511.5
2026,上海市材料工程学校,数字媒体艺术设计,511.0
2026,上海市商贸旅游学校,现代物流管理,510.5
2026,上海港湾学校,环境艺术设计,510.5
2026,上海商业会计学校,国际金融,508.5
2026,上海市商业学校,软件技术,508.5
2026,上海市工程技术管理学校,大数据与会计,508.5
2026,上海市浦东外事服务学校,影视编导,508.0
2026,上海市浦东外事服务学校,数字媒体技术,506.5
2026,上海市建筑工程学校,建筑装饰工程技术,506.0
2026,上海市建筑工程学校,工程造价,505.5
2026,上海市商业学校,大数据技术,504.5
2026,上海市西南工程学校,建筑智能化工程技术,504.5
2026,上海市群星职业技术学校,数字媒体技术,504.0
2026,上海市城市科技学校,民宿管理与运营,502.5
2026,中华职业学校,舞台艺术设计与制作,499.5
2026,上海市逸夫职业技术学校,新能源汽车检测与维修技术,499.5
2026,上海市行政管理学校,大数据与会计,498.5
2026,上海市群星职业技术学校,虚拟现实技术应用,495.5
2026,上海市西南工程学校,现代物流管理,495.0
2026,上海市现代职业技术学校,游戏艺术设计,495.0
2026,上海鸿文国际职业高级中学,虚拟现实技术应用,494.5
2026,上海市浦东外事服务学校,应用法语,494.0
2026,上海市逸夫职业技术学校,餐饮智能管理,493.5
2026,上海市逸夫职业技术学校,汽车检测与维修技术,493.5
2026,上海市奉贤中等专业学校,机械制造及自动化,490.0
2026,上海市浦东外事服务学校,国际商务,490.0
2026,上海市西南工程学校,民航运输服务,489.5
2026,上海市行政管理学校,现代文秘,489.0
2026,中华职业学校,空中乘务,489.0
2026,上海市经济管理学校,应用德语,488.5
2026,上海市行政管理学校,计算机网络技术,487.0
2026,上海市西南工程学校,大数据与会计,486.5
2026,上海市现代职业技术学校,新能源汽车技术,484.0
2026,上海市宝山职业技术学校,汽车检测与维修技术,484.0
2026,上海市宝山职业技术学校,软件技术,484.0
2026,上海市浦东外事服务学校,新能源汽车技术,483.0
2026,上海市工程技术管理学校,风景园林设计,481.5
2026,上海科技管理学校,现代物流管理,481.0
2026,上海市逸夫职业技术学校,酒店管理与数字化运营,480.5
2026,上海市工程技术管理学校,数字媒体技术,479.5
2026,上海市浦东外事服务学校,应用德语,478.5
2026,上海市西南工程学校,艺术设计,478.0
2026,上海市西南工程学校,电子商务,477.5
2026,上海市现代职业技术学校,广告艺术设计,477.5
2026,上海市建筑工程学校,建筑工程技术,477.0
2026,上海市浦东外事服务学校,酒店管理与数字化运营,475.0
2026,上海市行政管理学校,大数据技术,473.5
2026,上海市浦东外事服务学校,大数据技术,470.5
2026,上海市行政管理学校,物联网应用技术,464.5
2026,上海科技管理学校,物联网应用技术,461.5
2026,上海鸿文国际职业高级中学,电子商务,454.0
2026,上海鸿文国际职业高级中学,游戏艺术设计,445.0
2026,上海市西南工程学校,空中乘务,432.5
2026,上海市航空服务学校,空中乘务,412.0
